Accession,gene
O15156,ZBTB7B
A0A0U1RQT9,SYPL1
Q9H479,FN3K
Q6P1L8,MRPL14
Q5TCZ7,CUTC
K7EMY5,RDH13
F5H0R1,TUT1
Q9UNP9,PPIE
G3V4A5,MED6
G3V4H8,SLC25A29
Q9NYB9,ABI2
Q9BXP2,SLC12A9
X6R4W8,ZNF207
P80303,NUCB2
D6RG18,CCNH
F8WAA7,INTS4
Q13112,CHAF1B
J3KNW3,RBFOX1
C9JDR0,NSDHL
Q8NF37,LPCAT1
Q8WW59,SPRYD4
Q13451,FKBP5
P57105,SYNJ2BP
O15014,ZNF609
E7ESC6,XPO7
P29034,S100A2
B7Z510,REEP5
P04818,TYMS
Q96B26,EXOSC8
Q8NDX6,ZNF740
H7C085,TMEM214
I3L3I9,ALDH3A1
H3BR29,RUSF1
Q9UHB7,AFF4
E5RJG6,TACC1
C9JR82,TIMMDC1
D6RCC8,PPAT
P03891,MT-ND2
Q9Y5L3,ENTPD2
Q96CB8,INTS12
K7ERP4,GPX4
H3BRM1,ZFYVE19
C9JHK9,ABCF2
A0A0A0MTQ5,ATP5MPL
Q6F5E8,CARMIL2
J3QRV5,LLGL2
Q9NRY2,INIP
I3L1V0,ABHD12
Q9Y294,ASF1A
Q96IR7,HPDL
Q9BT22,ALG1
A0A5F9ZHW5,ATXN2
Q96CU9,FOXRED1
Q8WUF5,PPP1R13L
P0DPB6,POLR1D
Q6IAK0,SELENOT
Q7Z434,MAVS
P0CG08,GPR89B
Q96EL3,MRPL53
H0YCA5,SPATA5L1
Q9BW19,KIFC1
Q9H8S9,MOB1A
A6NJX6,CHCHD1
Q9NYB0,TERF2IP
F8VUA2,CHMP1A
Q9UKG1,APPL1
Q66K74,MAP1S
H0YDU8,PPP5C
Q9H0N0,RAB6C
P36639,NUDT1
Q99523,SORT1
Q6PIP6,IMPA2
Q5VIR6,VPS53
Q9NX07,TRNAU1AP
O15551,CLDN3
B4E0K5,MAPK14
Q8TD30,GPT2
Q5T2E6,ARMH3
Q6PGP7,TTC37
Q96GK7,FAHD2A
A0A0A0MSQ0,PLS3
E9PC90,CCNB1
B5MD00,TOMM7
P00846,MT-ATP6
X6R631,MRPL55
O60725,ICMT
K7EKI0,EVPL
Q99569,PKP4
P05026,ATP1B1
Q71SY5,MED25
H0YGR4,REXO2
B4DIW9,ANKRD28
P35270,SPR
K7ELF1,MRPL4
B4DIP2,ERBIN
Q4KMP7,TBC1D10B
H0YHR9,NAA25
P11233,RALA
Q9UBR2,CTSZ
Q9H1I8,ASCC2
Q14203,DCTN1
H7C3R3,ZYX
F5H8A0,TRPT1
Q14789,GOLGB1
Q86VU5,COMTD1
A0A0J9YX89,SELENOF
Q8NG42,PGR
Q9Y399,MRPS2
P35573,AGL
Q96IJ6,GMPPA
E5RIY1,PPP2R2A
A0A2U3TZL5,CD59
G3V1P5,MED15
V9GYM8,ARHGEF2
A0A2R8Y7G1,AHR
Q13505,MTX1
Q92947,GCDH
Q13257,MAD2L1
Q1ED39,KNOP1
H0YGG4,EIF2B1
P48634,PRRC2A
Q13416,ORC2
H0YBD2,COX7A2L
M0R1L4,DPP9
P13674,P4HA1
Q96JB5,CDK5RAP3
O14646,CHD1
F8VSC5,SCYL2
Q8WXA9,SREK1
A0A075B797,NOSIP
Q9H4A6,GOLPH3
Q9NZM5,NOP53
P48739,PITPNB
A7E2Y1,MYH7B
O94886,TMEM63A
P78357,CNTNAP1
Q9H3K2,GHITM
P50443,SLC26A2
Q04941,PLP2
P08047,SP1
Q5VZ89,DENND4C
A0A494C1E2,PGM3
P48960,ADGRE5
C9J4E3,LPP
H0Y7D7,ATF6B
Q9UKS6,PACSIN3
Q8IZX4,TAF1L
O95218,ZRANB2
Q9P016,THYN1
Q8TAE8,GADD45GIP1
P62166,NCS1
Q8N8A6,DDX51
O14529,CUX2
P49848,TAF6
Q9H6T3,RPAP3
P27105,STOM
P61601,NCALD
P12259,F5
C9JQS9,PCCB
G8JLB3,PUS1
Q13425,SNTB2
E9PC69,MARK2
H0YHS6,YARS2
C9J2Y4,FAM136A
F8VXI1,NDUFA12
E9PML0,CYP4B1
P05362,ICAM1
E9PKN0,PCF11
Q14376,GALE
V9GY58,ELMOD2
Q99805,TM9SF2
Q96K58,ZNF668
A0A3B3ISI3,INPP5F
G3V4I5,GSKIP
Q9NYU1,UGGT2
B4E1E4,EIF4E2
D6REK3,CWC27
X6RI37,SHOC2
Q9NUB1,ACSS1
E5RGS4,PFDN1
K7EIU8,SMAD4
P31321,PRKAR1B
Q13217,DNAJC3
A6QRG9,PLXNB2
C9JG08,C2orf16
A8MXE8,RAI1
Q9Y2Q5,LAMTOR2
Q9Y2P8,RCL1
V9GY93,TMEM165
O14949,UQCRQ
Q96D71,REPS1
Q9BY32,ITPA
Q9H1C4,UNC93B1
H9KVA9,BRCC3
Q9NZL4,HSPBP1
Q9BQC6,MRPL57
Q96S59,RANBP9
I3L2C7,GEMIN4
A0A087X0R6,SNX12
Q8IXQ3,C9orf40
Q3L8U1,CHD9
Q12800,TFCP2
Q96HA7,TONSL
P19784,CSNK2A2
Q7L4I2,RSRC2
Q53T59,HS1BP3
Q8IZ73,RPUSD2
Q9H974,QTRT2
P03928,MT-ATP8
A0A0D9SGE8,PHF6
Q8NFC6,BOD1L1
Q969L2,MAL2
M0QZD8,LOC400499
B4E101,TAMM41
Q9NQT5,EXOSC3
E9PGC8,MAP1A
Q7LGA3,HS2ST1
H7BZ55,CROCC2
A0A087WVU6,HECTD1
Q96BW5,PTER
A6PVM9,AIF1L
Q9UHA4,LAMTOR3
A0A286YF26,SCN1A
O14967,CLGN
Q9H1A4,ANAPC1
Q9NRL2,BAZ1A
P83436,COG7
Q9H7B4,SMYD3
A0A0J9YWM9,UTP4
Q6P6C2,ALKBH5
X6R868,CEL
B1AKN6,NFIA
Q96MG2,JSRP1
Q5KS07,ZBTB21
Q9H6U8,ALG9
Q5JT88,SHPRH
E9PLG8,GPAA1
A0A0U1RR22,PACSIN2
Q92888,ARHGEF1
P41227,NAA10
Q92902,HPS1
Q9P206,KIAA1522
G3V0I5,NDUFV1
C9J0X3,PDLIM2
O15164,TRIM24
O95486,SEC24A
O14964,HGS
Q8IVS2,MCAT
P01008,SERPINC1
E5RIA4,DNPEP
B4E1N1,ARMC6
O95429,BAG4
Q12834,CDC20
Q96GM8,TOE1
A0A494C0W0,PARN
Q9BUT9,MCRIP2
Q9H9B1,EHMT1
P21266,GSTM3
Q9BZH6,WDR11
Q9ULR0,ISY1
M0QXH4,HAS1
O00178,GTPBP1
H0YBN6,CSNK1G3
A0A087WW69,EIF2B4
Q15054,POLD3
O00458,IFRD1
H7C519,NT5DC2
Q13795,ARFRP1
F5H3W0,RECQL
C9JYY9,NUDT5
Q9NRC6,SPTBN5
H7C2B5,RIF1
Q9H3Z4,DNAJC5
Q9BWS9,CHID1
G3V2L5,COQ6
Q96Q89,KIF20B
Q7Z6M4,MTERF4
G3V1U3,METAP2
Q8WZA9,IRGQ
H3BU49,ARL2BP
Q8IWB7,WDFY1
Q9UII2,ATP5IF1
A0A087WU80,TNFAIP3
Q15291,RBBP5
Q8N0X7,SPART
Q16821,PPP1R3A
A0A0A0MSB8,EXOC7
Q969X5,ERGIC1
Q92903,CDS1
P51513,NOVA1
Q9H2J7,SLC6A15
F5H0Q6,CLASRP
Q99567,NUP88
E9PI59,ACCSL
Q96KG9,SCYL1
P80365,HSD11B2
Q9BU61,NDUFAF3
Q92643,PIGK
P12074,COX6A1
Q8N5L8,RPP25L
Q5VTU8,ATP5F1EP2
F8VRK2,PPHLN1
Q13618,CUL3
Q969U7,PSMG2
Q96N67,DOCK7
Q9BUV8,RAB5IF
O43286,B4GALT5
E9PIP1,C11orf54
Q9P013,CWC15
B9EGQ5,WIZ
A2A2M1,NFS1
Q9BRT9,GINS4
Q08722,CD47
P47974,ZFP36L2
Q9Y6I3,EPN1
P52298,NCBP2
Q9NZ72,STMN3
P52435,POLR2J
P55268,LAMB2
Q5VZK9,CARMIL1
Q5T5E9,TARS2
Q9Y6G3,MRPL42
K7EP45,VPS25
E9PG02,SUMF2
Q14807,KIF22
Q99549,MPHOSPH8
C9JNM8,MTERF1
Q8TEQ6,GEMIN5
H7C009,PDE2A
Q9Y2Q9,MRPS28
I3L4J1,1 SV
F6S7C4,SUPT20H
Q7L5D6,GET4
A0A669KBF5,TMEM30A
A0A5F9ZHM8,ASL
A0A087WZQ5,MERTK
H3BNJ0,POLR3E
P04183,TK1
B4DEE8,MGMT
Q9NW36,HELLS
Q9H9Y2,RPF1
P51003,PAPOLA
F8WB69,UBXN7
Q3KQV9,UAP1L1
Q06587,RING1
O14975,SLC27A2
O95159,ZFPL1
C9JAJ9,RBBP7
Q9Y3D5,MRPS18C
J3QLU9,ERBB2
Q9H0R6,QRSL1
O60885,BRD4
P56962,STX17
H0YE02,HIF3A
A0A087WT20,DCAF13
A0A669KAX4,CUL4B
O14656,TOR1A
O15327,INPP4B
H0YB34,RIDA
P48147,PREP
Q8TD84,DSCAML1
J3QQM3,KLHL14
A0A3B3ITS5,3 SV
P49959,MRE11
Q7L3T8,PARS2
Q9BZJ0,CRNKL1
A0A075B6Z2,TRAJ56
F5H2X7,CIZ1
Q8NCI6,GLB1L3
F8WF63,RBM6
O43181,NDUFS4
G3V5F4,SLC25A29
A0A5H1ZRP4,NELFB
P62487,POLR2G
A0A087WTL3,ATP5F1D
Q6VN20,RANBP10
J3KNF4,CCS
Q9NWY4,HPF1
Q9UER7,DAXX
Q03112,MECOM
Q8N5A5,ZGPAT
Q9Y248,GINS2
A0A0B4J1S1,CIITA
E2QRI1,P3H1
H3BUR4,NOB1
E9PNJ4,STIM1
P20849,COL9A1
A0A0A0MSH9,CHD1L
O95294,RASAL1
A0A590UJL2,DLG1
Q7L2J0,MEPCE
A2A2E0,MANBAL
Q13596,SNX1
Q5VUJ9,EFCAB2
E7EX70,POLR1E
P03915,MT-ND5
Q5VTL8,PRPF38B
P54296,MYOM2
A0A1W2PRB8,3 SV
E9PI04,RIC8A
Q99856,ARID3A
H0YBK3,INTS9
F5GXB9,ANAPC15
Q9Y5P6,GMPPB
P16885,PLCG2
Q8IVT2,MISP
Q96KN1,LRATD2
Q9H4A5,GOLPH3L
Q9C0G6,DNAH6
E9PPX6,ATPAF1
Q14061,COX17
Q96G25,MED8
Q5T3U5,ABCC10
Q96Q06,PLIN4
P46199,MTIF2
A0A5F9ZHU7,PRIM2
O75843,AP1G2
A0A0C4DGB1,DIMT1
A0A669KB52,STAT1
A0A087X097,CDH23
P00451,F8
Q96L91,EP400
E9PPG7,ECHDC1
Q8WY36,BBX
J3KPT4,TRABD
Q9Y4E6,WDR7
F5H538,MAP3K4
Q9Y3D0,CIAO2B
H0YAC6,LRBA
A0A5F9ZHH6,RXRA
F5H1T6,ATP6V0A1
H0Y7V4,DNAH8
O95248,SBF1
Q9Y679,AUP1
Q6ZV73,FGD6
Q9Y2G8,DNAJC16
F5GXL1,FNBP4
Q8WXS8,ADAMTS14
Q9HCD6,TANC2
F2Z2U4,TRRAP
E5RIN2,TBC1D9B
Q9Y5M6,OCLM
G3V158,DERA
Q86TV6,TTC7B
Q96DR4,STARD4
E9PM04,DCUN1D5
J3KTD2,RTTN
Q12972,PPP1R8
Q96GS6,ABHD17A
Q86UV5,USP48
Q9Y6W3,CAPN7
H7BZA8,RALGAPA2
Q5BJD5,TMEM41B
F8VZV1,MON2
Q5BJF2,TMEM97
Q15024,EXOSC7
Q8NFT8,DNER
Q8IYB4,PEX5L
Q9Y5F1,PCDHB12
H3BQD4,TSR3
Q9P281,BAHCC1
Q6ZXV5,TMTC3
Q9NXX6,NSMCE4A
Q5JR59,MTUS2
P78537,BLOC1S1
H0Y6Z7,PTPRF
H7BZF5,C2orf80
E7EWP2,TRIO
D6RAR1,TSPAN5
Q9H2G2,SLK
Q9Y3D7,PAM16
E9PJK4,ARHGAP42
A0A3B3IRL5,IMPDH1
Q69YG0,TMEM42
Q7Z7C8,TAF8
O00161,SNAP23
Q96T58,SPEN
Q8N0V3,RBFA
H7BXD0,LRRC74A
Q9BWT3,PAPOLG
Q8TD43,TRPM4
Q9H7L9,SUDS3
Q9H6F2,TMEM38A
J3KMZ7,INTS2
A0A2R8Y5P4,SUCLA2
C9JE56,WDR76
Q8N9L9,ACOT4
F6U1T9,PPP3R1
P49585,PCYT1A
D6RAN8,MRPL27
P02749,APOH
Q8TED0,UTP15
A0A2R8YG57,ESPN
Q9Y5Y6,ST14
Q9HCS5,EPB41L4A
Q6UXH1,CRELD2
F8WCJ7,SEC62
E7ENN3,SYNE1
Q96B13,PPP2R5C
Q5BKU9,OXLD1
G3V1A9,NCAPD3
K7EPL6,4 SV
A0A2R8Y7Z3,RUNX2
Q96S55,WRNIP1
M0QX38,NOTCH3
Q96AJ9,VTI1A
P48051,KCNJ6
Q13190,STX5
Q96JI7,SPG11
P41587,VIPR2
A0A1C7CYZ1,MAPK15
Q5HYI7,MTX3
Q8N468,MFSD4A
A0A2R8Y7B1,CCDC88A
H0YJD1,PAX8
Q9NYQ6,CELSR1
E7ESA9,RUNX1T1
A6PW57,PIP5K1A
A0A0G2JNC7,NAIP
O94823,ATP10B
Q6P9G9,ZNF449
Q9NPD8,UBE2T
H3BPZ8,PRMT7
P40394,ADH7
Q2KHT3,CLEC16A
A0A1B0GTL7,CNTN2
P48544,KCNJ5
F6VUX8,CENPJ
A0A087X0S5,COL6A1
O43711,TLX3
P55017,SLC12A3
Q9UBM7,DHCR7
Q6PJ61,FBXO46
Q8N9V6,ANKRD53
Q9UBC5,MYO1A
K7ENX1,RLN3
Q5HY64,FAM47C
G3V351,ZBTB25
Q7Z422,SZRD1
Q6ZS27,ZNF662
Q9P2U8,SLC17A6
O75106,AOC2
Q6PIF6,MYO7B
P28702,RXRB
Q9H1Z4,WDR13
P58012,FOXL2
O15068,MCF2L
Q6PJG6,BRAT1
J3KT75,MPDU1
F5GZY7,GABARAPL1
Q9H4L5,OSBPL3
X6RL26,DCAF12
Q75VX8,GAREM2
Q9H2S9,IKZF4
P04049,RAF1
Q8WUI4,HDAC7
Q68G75,LEMD1
Q96M42,LINC00479
C9JR62,CCDC141
P15085,CPA1
A0A0A0MTC1,RNF213
A0A0G2JL52,VARS2
E7EQ64,PRSS1
O95847,SLC25A27
P45877,PPIC
Q5CZC0,FSIP2
Q9Y614,ACTL7B
J3QQW2,SS18
F8VW93,SDS
O00468,AGRN
Q8NFQ6,BPIFC
Q96DZ5,CLIP3
Q6V0I7,FAT4
V9H0V9,SLC4A1
Q00169,PITPNA
Q8WVD3,RNF138
Q8N5H7,SH2D3C
Q9C0D5,TANC1
Q13469,NFATC2
G3XAJ4,TXNDC9
Q9Y2T3,GDA
A0MZ66,SHTN1
O60543,CIDEA
Q9Y4F5,CEP170B
U3KQF7,BICD1
F8VZH8,UNC13A
Q96DX4,RSPRY1
X6R390,AP2S1
Q8WZA0,LZIC
H7C0W7,FAM126A
Q6P0Q8,MAST2
E5RHA3,ERICH1
Q14687,GSE1
P78310,CXADR
Q8IZ52,CHPF
Q8WUT4,LRRN4
Q96SR6,ZNF382
H3BSE0,UBL7
K7ERW1,OAZ1
P41743,PRKCI
E9PCN2,GUCY1B1
A0A087WWY6,ILK
G3V2T6,4 SV
P84550,SKOR1
H0YB70,HYI
Q9NU22,MDN1
O60258,FGF17
Q8IZF6,ADGRG4
F6QZY1,WAPL
A0A087WUK4,NR2C1
A0A1W2PNF7,ELP4
Q96MA6,AK8
O15303,GRM6
Q6ULP2,AFTPH
Q8WV37,ZNF480
A6ND91,ASPDH
Q9BWH6,RPAP1
D6RGE5,CSNK1A1
Q9UPA5,BSN
A7KAX9,ARHGAP32
A0A1B0GTJ6,hCG_1796489
